id,source,topic,domain_code,domain,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,explanation
0001,Automation_Foundations,Automation Foundations,2.3,2.3 Marketplace content packs,single,The Cortex Marketplace undergoes updates on a regular cadence to maintain currency. How often does the Marketplace itself update?,Every 30 minutes,Every hour,Every two hours,Every four hours,,,C,"The source states explicitly that ""The Marketplace itself undergoes updates every two hours to maintain currency."" Every 30 minutes describes the Local Agent Settings applet cache refresh interval (from a different module), and four hours is the minimum window length for Broker VM auto-upgrade — both are tempting cross-topic distractors."
0002,Automation_Foundations,Automation Foundations,2.3,2.3 Marketplace content packs,single,"When a content pack update is available in Cortex, what happens to user customizations that were made to that content pack?",Customizations are lost and must be manually re-applied after the update.,The update is blocked until the user reverts all customizations.,Customizations are preserved in a backup but not applied to the new version.,Customizations are automatically integrated into the updated version.,,,D,"The source states ""Customizations made by users are automatically integrated into the update, ensuring a cohesive experience."" Option A is the trap — it implies the common fear that updates overwrite customizations, which is incorrect per the source."
0003,Automation_Foundations,Automation Foundations,2.3,2.3 Marketplace content packs,single,A Cortex XSIAM administrator wants to revert a content pack to the version installed before the latest update. Which Marketplace feature supports this?,"The Dependencies tab, which lists prior dependency trees.","The Version History tab, which allows reverting to a previous version.","The Deletion function, which removes and allows reinstallation of any version.","The Updates notification, which provides a rollback link in the Installed Content Packs tab.",,,B,"The source describes the Version History tab as providing ""a comprehensive view of the installed version, earlier iterations, and available updates"" and explicitly notes users can ""revert to a previous version."" Deletion (C) removes all associated content and is not a rollback mechanism; the Updates notification (D) informs about available updates but does not itself provide a rollback link."
0004,Automation_Foundations,Automation Foundations,2.3,2.3 Marketplace content packs,single,Which content pack capability is available in the Full Experience (Cortex XSIAM) but NOT in the Lite Experience (Cortex Cloud or Cortex XDR)?,Playbooks,Dashboards,Scripts,Classifiers and Mappers,,,D,"The source's feature table shows Classifiers and Mappers (along with Rules, Issue Types/Fields/Layouts, Indicator Types) are marked as Full Experience only (✓ XSIAM, ✗ Lite). Playbooks, Dashboards, and Scripts all have checkmarks for both Lite and Full experiences."
0005,Automation_Foundations,Automation Foundations,2.4,2.4 automation workflow (2.4.2 playbook tasks),single,"In the Automation Workflow table, which step is described as using filters to isolate relevant information and transformers to convert timestamps?",Issue Creation,Task and Sub-playbook Execution,Data Analysis,Collaboration and Communication,,,C,"The source workflow table describes ""Data Analysis"" as: ""Data analysis involves using filters to isolate relevant information and transformers to convert timestamps."" Task and Sub-playbook Execution (B) is specifically for running scripts to analyze malware behavior or invoking sub-playbooks — a different step."
0006,Automation_Foundations,Automation Foundations,2.4,2.4 automation workflow (2.4.3 customize),single,What happens to a script when it is detached from its Marketplace Content Pack?,The script is permanently disabled until reattached to the content pack.,An editable duplicate of the script is created and the original is locked.,The script stops receiving future content pack updates.,The script becomes read-only and cannot be run in playbooks.,,,C,"The source states directly: ""detaching a script from its Marketplace Content Pack prevents it from receiving updates."" Option A and D are plausible-sounding but directly contradicted — detaching makes the script *editable*, not disabled or read-only. Option B partly mirrors the ""create a duplicate"" alternative path but mischaracterizes the detach operation itself."
0007,Automation_Foundations,Automation Foundations,2.4,2.4 automation workflow (2.4.2 playbook tasks),multi,In which programming languages can Cortex scripts be written? (Choose two.),Ruby,Python,PowerShell,Java,Bash,,B|C,"The source states scripts ""are written in JavaScript, Python, or PowerShell."" The question asks for two from the list; Python and PowerShell both appear. Java, Ruby, and Bash do not appear. Note that JavaScript is also valid per the source but is not listed among the options here, making Python and PowerShell the two correct picks from this option set."
0008,Automation_Foundations,Automation Foundations,3.3,3.3 detection rules (correlation),single,"What is the specific purpose of Correlation Rules within Cortex content packs, as distinguished from Data Model Rules?",Correlation Rules normalize incoming data into a standardized schema; Data Model Rules schedule threat detection queries.,Correlation Rules preprocess raw data to improve storage efficiency; Data Model Rules detect multi-event threat patterns.,Correlation Rules use the XQL engine to automate detection of potential threats from multiple events; Data Model Rules normalize and enrich data into a standardized schema.,Correlation Rules manage classifiers and mappers for third-party data; Data Model Rules trigger issues based on scheduled scans.,,,C,"The source defines Correlation Rules as analyzing ""multiple events from various sources using the XQL-based engine"" to ""automate the detection of potential threats,"" while Data Model Rules ""play a pivotal role in data normalization and enrichment"" by creating ""a standardized schema."" Option A reverses the roles of the two rule types, which is the primary trap."
0009,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,How often does the Local Agent Settings applet retrieve the latest installers and content files from Cortex?,Every 5 minutes,Every 15 minutes,Every 30 minutes,Every 60 minutes,,,B,"The source states: ""The Broker VM retrieves the latest installers and content files from Cortex every 15 minutes."" The cached files are stored for 30 days — a figure that may tempt candidates to answer 30 minutes — but 30 days is the *retention* window, not the refresh interval."
0010,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,What is the maximum number of XDR agents that the Local Agent Settings applet can route through a single Broker VM as a transparent proxy?,"10,000","25,000","50,000","100,000",,,C,"The source specifies that the Local Agent Settings applet can act as ""a full, transparent proxy that routes all traffic between the Cortex management server and XDR collectors, or up to 50,000 XDR agents."" No other agent-count figure appears in the source for this applet."
